
="",="(0.19)",="(0.20)",="(0.20)",="(0.17)",="(0.17)"

="Bonnivier Pranaja 【NIJISANJI /  にじさんじ】 # Freetalk",="-0.427***",="-0.395***",="-0.354**",="-0.478***",="-0.457***"
="",="(0.15)",="(0.15)",="(0.15)",="(0.15)",="(0.15)"

="Bonnivier Pranaja 【NIJISANJI /  にじさんじ】 # Genshin/Honkai",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Bonnivier Pranaja 【NIJISANJI /  にじさんじ】 # Karaoke",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Bonnivier Pranaja 【NIJISANJI /  にじさんじ】 # Minecraft",="-0.340*",="-0.308",="-0.273",="-0.357*",="-0.334*"
="",="(0.20)",="(0.20)",="(0.20)",="(0.20)",="(0.20)"

="Bonnivier Pranaja 【NIJISANJI /  にじさんじ】 # Music",="0.264",="0.266",="0.271",="0.269",="0.271"
="",="(0.74)",="(0.77)",="(0.78)",="(0.73)",="(0.75)"

="Bonnivier Pranaja 【NIJISANJI /  にじさんじ】 # Others",="-0.131",="-0.110",="-0.0872",="-0.151",="-0.137"
="",="(0.12)",="(0.12)",="(0.12)",="(0.12)",="(0.12)"

="Bonnivier Pranaja 【NIJISANJI /  にじさんじ】 # Phasmo",="0.380",="0.367",="0.373",="0.354",="0.344"
="",="(0.24)",="(0.24)",="(0.24)",="(0.24)",="(0.24)"

="Bonnivier Pranaja 【NIJISANJI /  にじさんじ】 # Valorant",="-0.0604",="-0.0526",="-0.0593",="-0.0165",="-0.00827"
="",="(0.35)",="(0.34)",="(0.35)",="(0.35)",="(0.35)"

="Bonnivier Pranaja 【NIJISANJI /  にじさんじ】 # Watchalong",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Derem Kado 【にじさんじ / NIJISANJI】 # Duolingo",="0.0622",="0.0628",="0.0725",="0.0718",="0.0728"
="",="(0.35)",="(0.36)",="(0.36)",="(0.36)",="(0.36)"

="Derem Kado 【にじさんじ / NIJISANJI】 # Fall Guys",="0.0857",="0.0635",="0.0837",="0.0322",="0.0128"
="",="(0.34)",="(0.34)",="(0.34)",="(0.34)",="(0.34)"

="Derem Kado 【にじさんじ / NIJISANJI】 # Freetalk",="0.116",="0.110",="0.128",="0.0959",="0.0906"
="",="(0.35)",="(0.35)",="(0.35)",="(0.35)",="(0.35)"

="Derem Kado 【にじさんじ / NIJISANJI】 # Genshin/Honkai",="0.769**",="0.741**",="0.711**",="0.700*",="0.676*"
="",="(0.34)",="(0.33)",="(0.32)",="(0.36)",="(0.35)"

="Derem Kado 【にじさんじ / NIJISANJI】 # Karaoke",="1.115***",="1.130***",="1.139***",="1.161***",="1.175***"
="",="(0.34)",="(0.34)",="(0.34)",="(0.34)",="(0.34)"

="Derem Kado 【にじさんじ / NIJISANJI】 # Minecraft",="0.000404",="0.00765",="0.0319",="0.0213",="0.0278"
="",="(0.36)",="(0.36)",="(0.36)",="(0.36)",="(0.36)"

="Derem Kado 【にじさんじ / NIJISANJI】 # Music",="1.248***",="1.256***",="1.271***",="1.266***",="1.273***"
="",="(0.48)",="(0.48)",="(0.48)",="(0.48)",="(0.48)"

="Derem Kado 【にじさんじ / NIJISANJI】 # Others",="-0.336",="-0.333",="-0.317",="-0.336",="-0.334"
="",="(0.33)",="(0.34)",="(0.34)",="(0.34)",="(0.34)"

="Derem Kado 【にじさんじ / NIJISANJI】 # Phasmo",="0.186",="0.191",="0.207",="0.138",="0.139"
="",="(0.40)",="(0.40)",="(0.40)",="(0.39)",="(0.39)"

="Derem Kado 【にじさんじ / NIJISANJI】 # Valorant",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Derem Kado 【にじさんじ / NIJISANJI】 # Watchalong",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Etna Crimson【NIJISANJI / にじさんじ】 # Duolingo",="-0.0443",="-0.120",="-0.132",="-0.116",="-0.176*"
="",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.10)"

="Etna Crimson【NIJISANJI / にじさんじ】 # Fall Guys",="0.402**",="0.409**",="0.446**",="0.293*",="0.292*"
="",="(0.17)",="(0.17)",="(0.17)",="(0.15)",="(0.15)"

="Etna Crimson【NIJISANJI / にじさんじ】 # Freetalk",="0.0817",="0.0749",="0.0948",="0.00621",="-0.00298"
="",="(0.11)",="(0.12)",="(0.12)",="(0.11)",="(0.12)"

="Etna Crimson【NIJISANJI / にじさんじ】 # Genshin/Honkai",="1.301***",="1.324***",="1.339***",="1.256***",="1.271***"
="",="(0.42)",="(0.42)",="(0.42)",="(0.42)",="(0.42)"

="Etna Crimson【NIJISANJI / にじさんじ】 # Karaoke",="0.0881",="0.0672",="0.0667",="0.0413",="0.0233"
="",="(0.19)",="(0.19)",="(0.19)",="(0.18)",="(0.18)"

="Etna Crimson【NIJISANJI / にじさんじ】 # Minecraft",="-0.0335",="-0.0457",="-0.0278",="-0.0747",="-0.0860"
="",="(0.16)",="(0.16)",="(0.16)",="(0.16)",="(0.16)"

="Etna Crimson【NIJISANJI / にじさんじ】 # Music",="0.546",="0.541",="0.547",="0.495",="0.488"
="",="(0.47)",="(0.48)",="(0.48)",="(0.47)",="(0.47)"

="Etna Crimson【NIJISANJI / にじさんじ】 # Others",="0.0317",="0.0157",="0.0235",="-0.0193",="-0.0339"
="",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.09)"

="Etna Crimson【NIJISANJI / にじさんじ】 # Phasmo",="0.196",="0.213",="0.239",="0.106",="0.114"
="",="(0.29)",="(0.29)",="(0.30)",="(0.26)",="(0.27)"

="Etna Crimson【NIJISANJI / にじさんじ】 # Valorant",="0.338",="0.363",="0.376",="0.322",="0.340"
="",="(0.32)",="(0.32)",="(0.32)",="(0.32)",="(0.32)"

="Etna Crimson【NIJISANJI / にじさんじ】 # Watchalong",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Hana Macchia Ch.【NIJISANJI・にじさんじ】 # Duolingo",="0.510**",="0.517**",="0.526**",="0.519**",="0.525**"
="",="(0.26)",="(0.26)",="(0.26)",="(0.25)",="(0.25)"

="Hana Macchia Ch.【NIJISANJI・にじさんじ】 # Fall Guys",="0.304",="0.303",="0.339",="0.388",="0.392"
="",="(0.29)",="(0.29)",="(0.28)",="(0.27)",="(0.27)"

="Hana Macchia Ch.【NIJISANJI・にじさんじ】 # Freetalk",="-0.0426",="-0.0471",="-0.0202",="-0.00712",="-0.00841"
="",="(0.28)",="(0.28)",="(0.28)",="(0.27)",="(0.27)"

="Hana Macchia Ch.【NIJISANJI・にじさんじ】 # Genshin/Honkai",="1.179***",="1.172***",="1.172***",="1.297***",="1.299***"
="",="(0.43)",="(0.42)",="(0.42)",="(0.43)",="(0.43)"

